Timestamp,S,I,R,D
2020-05-31,8.199297217221133e6,4355.556125699086,176214.2102774419,18882.016375725845
2020-06-01,8.198769230650327e6,4178.4477424940305,176880.72696370812,18920.59464347046
2020-06-02,8.198262757863853e6,4008.5129929348577,177520.12582327737,18957.603319934733
2020-06-03,8.197776933802293e6,3845.466837856197,178133.49402872403,18993.105331127153
2020-06-04,8.1973109225746775e6,3689.0336332273114,178721.8822989903,19027.161493104555
2020-06-05,8.19686391745849e6,3538.947130152113,179286.30489938613,19059.83051197213
2020-06-06,8.196435140899658e6,3394.950474869142,179827.73964158937,19091.16898388341
2020-06-07,8.196023844512562e6,3256.796208751581,180347.12788364562,19121.231395040286
2020-06-08,8.195629309080032e6,3124.24626830726,180845.3745299683,19150.070121692985
2020-06-09,8.195250844553343e6,2997.0719851786384,181323.3480313387,19177.735430140092
2020-06-10,8.194887790052223e6,2875.054086142805,181781.88038490587,19204.275476728544
2020-06-11,8.194539513334906e6,2757.982526445372,182221.76779268135,19229.736345967558
2020-06-12,8.194205395785733e6,2645.6519705984315,182643.78912449576,19254.163119172415
2020-06-13,8.193884872018493e6,2537.8746251537705,183048.65635085572,19277.5970054972
2020-06-14,8.19357740863092e6,2434.4730813966003,183437.0413917296,19300.076895953916
2020-06-15,8.193282488251415e6,2335.2751981297574,183809.59603420072,19321.640516254654
2020-06-16,8.192999609539048e6,2240.114101673703,184166.9519324671,19342.324426811592
2020-06-17,8.192728287183555e6,2148.828185866521,184509.72060784182,19362.164022737015
2020-06-18,8.19246805190534e6,2061.261112063923,184838.49344875268,19381.193533843285
2020-06-19,8.192218450455476e6,1977.261809139245,185153.84171074242,19399.446024642864
2020-06-20,8.191979045615699e6,1896.6844734834474,185456.31651646865,19416.953394348307
2020-06-21,8.1917494161984185e6,1819.3885690051127,185746.44885570387,19433.746376872255
2020-06-22,8.191529157046706e6,1745.238827130453,186024.74958533538,19449.854540827444
2020-06-23,8.191317879034304e6,1674.1052468033038,186291.70942936544,19465.30628952671
2020-06-24,8.191115209065621e6,1605.8630944851186,186547.7989789111,19480.12886098297
2020-06-25,8.190920790075731e6,1540.3929041549886,186793.46869220433,19494.348327909243
2020-06-26,8.190734279320423e6,1477.57994124382,187029.1510177267,19507.989720606565
2020-06-27,8.190555349272837e6,1417.3147089055165,187255.25906805164,19521.076950205443
2020-06-28,8.190383704188499e6,1359.4982184601595,187472.16597907228,19533.63161396921
2020-06-29,8.190219059235504e6,1304.035088014563,187680.23116172687,19545.674514755006
2020-06-30,8.190061137929678e6,1250.8327126661316,187879.80351090923,19557.22584674687
2020-07-01,8.189909672134573e6,1199.8012645028602,188071.22140546862,19568.305195455738
2020-07-02,8.189764402061468e6,1150.853692603335,188254.81270820962,19578.93153771943
2020-07-03,8.189625076269369e6,1103.905723036733,188430.8947658924,19589.123241702662
2020-07-04,8.1894914516650075e6,1058.8758588628205,188599.7744092325,19598.89806689704
2020-07-05,8.189363293502846e6,1015.6853801319555,188761.74795290083,19608.273164121067
2020-07-06,8.189240375385071e6,974.258343885087,188917.10119552392,19617.26507552014
2020-07-07,8.189122479261596e6,934.5215841537555,189066.10941968358,19625.889734566535
2020-07-08,8.189009395430064e6,896.4047119600872,189209.0373919171,19634.16246605944
2020-07-09,8.188900922535841e6,859.8401153168081,189346.13936271725,19642.09798612492
2020-07-10,8.188796867572024e6,824.7629592272235,189477.65906653224,19649.71040221594
2020-07-11,8.188697045879437e6,791.1111856852386,189603.82972176565,19657.013213112357
2020-07-12,8.188601285809368e6,758.827109813152,189724.86811434323,19664.018966475254
2020-07-13,8.188509432429221e6,727.8587102227002,189840.9698750583,19670.7389854977
2020-07-14,8.188421328763664e6,698.1532313642444,189952.33325966506,19677.18474530662
2020-07-15,8.188336822864153e6,669.6595985288631,190059.15018328695,19683.367354030528
2020-07-16,8.188255768207966e6,642.3285542375412,190161.60571429125,19689.297523504818
2020-07-17,8.188178023698198e6,616.1126582411704,190259.87807428898,19694.98556927172
2020-07-18,8.1881034536637645e6,590.9662875205487,190354.13863813496,19700.441410580333
2020-07-19,8.1880319278593995e6,566.845636286382,190444.5519339279,19705.674570386596
2020-07-20,8.187963321465657e6,543.7087159792832,190531.27564301022,19710.694175353317
2020-07-21,8.187897515088912e6,521.5153552697692,190614.4605999682,19715.508955850153
