Timestamp,β,γ,δ
2020-04-17,0.19329697418869804,0.2045598450887662,0.015528390947326793
2020-04-18,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-19,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-20,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-21,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-22,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-23,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-24,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-25,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-26,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-27,0.13396338287793338,0.19603743684484723,0.009675295164455915
2020-04-28,0.13396338287793338,0.19603743684484723,0.009675295164455915
